050-422		0.128	
4242-458	0.371	
4244-554	0.406	
4245-742	0.384	
4252-608	0.417	
4252-616	0.440	
4254-551	0.382	
4258-744	0.388	
4260-612	0.463	
4261-352	0.397	
4261-422	0.374	
4261-626	0.500	
4263-460	0.337	
4265-630	0.272	
4266-615	0.347	
4268-414	0.365	
4271-440	0.370	
4272-545	0.323	
4272-622	0.363	
4273-639	0.373	
4273-704	0.373	
4277-539	0.292	
4280-551	0.320	
4284-308	0.323	
4285-444	0.319	
4289-524	0.362	
4289-647	0.353	
4292-323	0.328	
4293-557	0.333	
4320-626	0.325	
4331-453	0.304	
4332-401	0.289	
4334-560	0.349	
4335-207	0.342	
4359-521	0.309	
4374-457	0.281	
4376-329	0.317	
4377-526	0.247	
4378-434	0.289	
4381-411	0.275	
4383-343	0.317	
4385-243	0.280	
4389-327	0.288	
4396-541	0.221	
4402-400	0.247	
4405-349	0.255	
4406-330	0.293	
4407-229	0.295	
4409-243	0.329	
4456-324	0.271
