knot	knot flux Ha	BG flux Ha	knot flux N II	BG flux N II	knot ratio	BG ratio
4385-243	0.33	36.8	-1.00	9.1	-3.054	0.248
050-422	2.14	186.6	-1.00	17.8	-0.467	0.095
4280-551	5.47	44.5	1.69	12.3	0.309	0.276
4263-460	1.36	57.8	0.24	17.2	0.178	0.298
4284-308	3.42	73.5	1.46	21.0	0.426	0.286
4378-414	0.44	25.3	0.05	6.1	0.105	0.243
4402-400	0.54	55.5	0.10	12.1	0.190	0.219
4261-656	0.49	23.0	0.16	7.2	0.332	0.314
4265-637	6.00	39.9	1.80	9.8	0.300	0.246
4407-229	0.19	29.3	0.03	7.7	0.168	0.261
4242-458	4.21	98.4	0.81	32.3	0.191	0.328
4383-411	0.39	37.1	0.04	10.0	0.099	0.270
4254-551	6.41	70.6	1.99	23.3	0.310	0.330
4272-628	0.48	18.3	0.08	6.1	0.159	0.330
4274-439	1.14	54.9	0.14	15.7	0.126	0.286
4389-327	0.59	68.1	0.08	17.9	0.129	0.263
4273-625	2.52	32.4	0.78	10.4	0.310	0.321
4376-329	0.52	38.7	0.09	10.8	0.172	0.279
4252-608	0.99	42.2	0.39	15.6	0.388	0.369
4285-444	0.59	36.6	0.11	10.3	0.186	0.282
4252-616	10.19	80.2	6.39	30.3	0.627	0.377
4268-413	1.26	68.8	0.36	22.7	0.286	0.330
4272-545	3.66	69.8	0.98	23.4	0.267	0.336
4258-744	2.01	36.6	0.58	12.4	0.289	0.339
4260-624	18.63	175.8	8.11	74.7	0.435	0.425
4335-207	94.23	179.3	22.59	54.3	0.240	0.303
4331-453	1.63	47.6	0.31	13.0	0.191	0.273
4405-349	0.14	36.1	-1.00	8.1	-7.052	0.225
4406-330	0.24	39.4	0.03	9.0	0.131	0.229
4359-521	1.90	52.1	0.31	14.2	0.164	0.273
4289-524	0.82	52.0	0.22	16.7	0.272	0.320
4261-633	6.14	149.6	3.27	65.7	0.532	0.439
4266-615	18.44	77.7	5.78	23.9	0.313	0.308
4378-434	0.22	43.8	-1.00	11.2	-4.545	0.256
4244-554	12.33	163.1	10.00	54.4	0.811	0.334
4293-557	1.11	27.3	0.22	8.0	0.195	0.295
4280-658	0.42	21.8	0.09	7.5	0.220	0.344
4374-457	1.84	34.7	0.48	8.5	0.261	0.243
4409-243	0.18	48.5	-1.00	14.1	-5.522	0.291
4332-401	0.15	24.8	0.06	6.3	0.392	0.255
4245-742	0.47	21.5	0.12	7.3	0.254	0.339
4320-626	1.54	39.7	0.24	11.4	0.156	0.288
4292-323	3.30	76.9	2.02	22.3	0.613	0.290
4396-541	0.87	74.4	-1.00	14.6	-1.155	0.196
4456-324	0.74	79.3	-1.00	19.0	-1.354	0.239
4277-539	0.98	22.4	0.21	5.8	0.210	0.259
4377-526	0.52	33.7	0.06	7.4	0.125	0.219
