Dataset	imid	specid	saxis	islit	shift	norm	zero	Notes
2006-02	326	324	2	283.5	74.	600	3.5	LL2 first epoch
2006-02	318	319	2	280.0	78.	3300	0	
2006-02	260	261	2	251.4	55.	3000	0	
2006-02	270	271	2	253.5	60.	6000	0	
2006-02	276	277	2	256.0	60.	6000	0	
2006-02	281	282	2	257.7	64.	3000	3.0	
2006-02	286	287	2	261.0	64.	3000	2.0	
2006-02	291	292	2	262.7	65.	4000	2.0	
2006-02	296	297	2	267.0	66.	2200	3.0	
2006-02	303	304	2	270.5	70.	2000	5.0	
2006-02	313	312	2	278.0	70.	2000	2.5	Image follows spec!
2007-01b	2061	2062-c	2	256.0	68.	8400	0	LL2 second epoch
2007-01b	2037	2038-2040	2	249.0	60.	8400	0	
2007-01b	2041	2042-2044	2	250.0	63.	8400	0	
2007-01b	2045	2046-2048	2	251.5	64.	6300	2	
2007-01b	2049	2050-2052	2	253.0	65.	6400	2.5	
2007-01b	2053	2054-2056	2	254.5	68.	7400	1	
2007-01b	2057	2058-2060	2	254.5	66.	7500	1	
2007-01	054	055	2	262.5	68.	4200	0	LL1 extreme N
2007-01	067	068	2	273.0	72.	4200	0	
2007-01	072	073	2	277.5	74.	4200	0	
2010-01	078	079-080	2	248.0	62.	4800	0	Vertical W of LL2
2013-02	024	025	1	465.0	-73.	1200	2.5	Horizontal LL2
2013-12	116	117-118	1	395.0	-60.	1200	0	Horizontal below LL2
2015-02	0003	0004		255.	60.		0	
2015-02	0012	0013		255.	60.		0	
